id,subfield_id,subfield,title,authors,venue,year,arxiv_id,doi,pdf_url,summary_zh,in_pool
1,1,非平稳/归一化/分布漂移,SIN: Selective and Interpretable Normalization for Long-Term Time Series Forecasting,Lu Han; Han-Jia Ye; De-Chuan Zhan,ICML 2024,2024,,,https://openreview.net/forum?id=cUMOVfOIve,提出按数据特性选择性执行统计量平移/缩放的可解释归一化框架 SIN，以缓解长时序预测中的非平稳问题。,yes
2,1,非平稳/归一化/分布漂移,Frequency Adaptive Normalization For Non-stationary Time Series Forecasting,Weiwei Ye; Songgaojun Deng; Qiaosha Zou; Ning Gui,NeurIPS 2024,2024,2409.20371,10.52202/079017-0985,https://arxiv.org/pdf/2409.20371,提出频域自适应归一化 FAN，用主频成分刻画并去除非平稳性，再以预测模块重建频率变化。,yes
3,1,非平稳/归一化/分布漂移,DDN: Dual-domain Dynamic Normalization for Non-stationary Time Series Forecasting,Tao Dai; Beiliang Wu; Peiyuan Liu; Naiqi Li; Xue Yuerong; Shu-Tao Xia; Zexuan Zhu,NeurIPS 2024,2024,,10.52202/079017-3444,https://doi.org/10.52202/079017-3444,提出时域与频域双域动态归一化 DDN，以滑动方式细粒度刻画分布变化并可插拔于多种预测模型。,yes
4,1,非平稳/归一化/分布漂移,Considering Nonstationary within Multivariate Time Series with Variational Hierarchical Transformer for Forecasting,Muyao Wang; Wenchao Chen; Bo Chen,AAAI 2024,2024,2403.05406,10.1609/aaai.v38i14.29483,https://arxiv.org/pdf/2403.05406,提出 HTV-Trans，用变分层次概率模块与 Transformer 联合建模多元时序内在非平稳性。,yes
5,1,非平稳/归一化/分布漂移,U-Mixer: An Unet-Mixer Architecture with Stationarity Correction for Time Series Forecasting,Xiang Ma; Xuemei Li; Lexin Fang; Tianlong Zhao; Caiming Zhang,AAAI 2024,2024,2401.02236,10.1609/aaai.v38i13.29337,https://arxiv.org/pdf/2401.02236,提出 Unet-Mixer 结构并加入平稳性校正机制，通过约束校正前后数据分布差异处理非平稳性。,yes
6,1,非平稳/归一化/分布漂移,Deep Frequency Derivative Learning for Non-stationary Time Series Forecasting,Wei Fan; Kun Yi; Hangting Ye; Zhiyuan Ning; Qi Zhang; Ning An,IJCAI 2024,2024,2407.00502,,https://arxiv.org/pdf/2407.00502,提出 DERITS，在频域求导表示上学习，以缓解时序的非平稳统计特性对预测的影响。,yes
7,1,非平稳/归一化/分布漂移,TimeBridge: Non-Stationarity Matters for Long-term Time Series Forecasting,Peiyuan Liu; Beiliang Wu; Yifan Hu; Naiqi Li; Tao Dai; Jigang Bao; Shu-tao Xia,ICML 2025,2025,2410.04442,,https://arxiv.org/pdf/2410.04442,提出 TimeBridge，区分短期片段内非平稳与长期依赖建模，分别用积分/协整注意力桥接两者。,yes
8,1,非平稳/归一化/分布漂移,Non-stationary Diffusion For Probabilistic Time Series Forecasting,Weiwei Ye; Zhuopeng Xu; Ning Gui,ICML 2025,2025,2505.04278,,https://arxiv.org/pdf/2505.04278,提出非平稳扩散模型 NsDiff，将时变不确定性显式纳入扩散过程以进行概率预测。,yes
9,1,非平稳/归一化/分布漂移,CycleNet: Enhancing Time Series Forecasting through Modeling Periodic Patterns,Shengsheng Lin; Weiwei Lin; Xinyi Hu; Wentai Wu; Ruichao Mo; Haocheng Zhong,NeurIPS 2024 (Spotlight),2024,2409.18479,10.52202/079017-3373,https://arxiv.org/pdf/2409.18479,提出可学习循环周期分量的 RCF 技术（CycleNet），显式建模数据中的周期模式以增强预测。,yes
10,1,非平稳/归一化/分布漂移,IN-Flow: Instance Normalization Flow for Non-stationary Time Series Forecasting,Wei Fan; Shun Zheng; Pengyang Wang; Rui Xie; Kun Yi; Qi Zhang; Jiang Bian; Yanjie Fu,KDD 2025,2025,2401.16777,10.1145/3690624.3709260,https://arxiv.org/pdf/2401.16777,提出实例归一化流 IN-Flow，用可逆流网络学习去除分布偏移的变换代替简单统计归一化。,yes
11,1,非平稳/归一化/分布漂移,Rethinking the Power of Timestamps for Robust Time Series Forecasting: A Global-Local Fusion Perspective,Chengsen Wang; Qi Qi; Jingyu Wang; Haifeng Sun; Zirui Zhuang; Jinming Wu; Jianxin Liao,NeurIPS 2024,2024,2409.18696,10.52202/079017-0700,https://arxiv.org/pdf/2409.18696,提出 GLAFF 框架，利用时间戳的全局信息与局部观测自适应融合，以增强分布漂移下的稳健预测。,yes
12,1,非平稳/归一化/分布漂移,PULSE: Generative Phase Evolution for Non-Stationary Time Series Forecasting,Yangyou Liu; Zezhi Shao; Xinyu Chen; Hu Chen; Fei Wang; Yuankai Wu,ICML 2026,2026,2605.16793,,https://arxiv.org/pdf/2605.16793,提出 PULSE，从相位演化视角对非平稳时序进行生成式建模与预测。,yes
13,2,在线学习/测试时适应/延迟反馈,Proactive Model Adaptation Against Concept Drift for Online Time Series Forecasting,Lifan Zhao; Yanyan Shen,KDD 2025,2025,2412.08435,10.1145/3690624.3709210,https://arxiv.org/pdf/2412.08435,提出 Proceed，先估计概念漂移再生成参数调整进行主动模型适应，用于在线时序预测。,yes
14,2,在线学习/测试时适应/延迟反馈,Calibration of Time-Series Forecasting: Detecting and Adapting Context-Driven Distribution Shift,Mouxiang Chen; Lefei Shen; Han Fu; Zhuo Li; Jianling Sun; Chenghao Liu,KDD 2024,2024,2310.14838,10.1145/3637528.3671926,https://arxiv.org/pdf/2310.14838,提出 SOLID 框架，检测上下文驱动的分布偏移并在测试时用邻近样本校准预测模型。,yes
15,2,在线学习/测试时适应/延迟反馈,Battling the Non-Stationarity in Time Series Forecasting via Test-time Adaptation,HyunGi Kim; Siwon Kim; Jisoo Mok; Sungroh Yoon,AAAI 2025,2025,2501.04970,10.1609/aaai.v39i17.33965,https://arxiv.org/pdf/2501.04970,提出 TAFAS，面向预测任务的测试时自适应框架，利用部分到达的真实值校准模型应对非平稳性。,yes
16,2,在线学习/测试时适应/延迟反馈,Fast and Slow Streams for Online Time Series Forecasting Without Information Leakage,Ying-yee Ava Lau; Zhiwen Shao; Dit-Yan Yeung,ICLR 2025,2025,,,https://openreview.net/forum?id=I0n3EyogMi,重新定义在线预测设定以避免信息泄漏，提出快慢双流学习框架 DSOF 进行在线更新。,yes
17,2,在线学习/测试时适应/延迟反馈,Online Time Series Forecasting with Theoretical Guarantees,Zijian Li; Changze Zhou; Minghao Fu; Sanjay Manjunath; Fan Feng; Guangyi Chen; Yingyao Hu; Ruichu Cai; Kun Zhang,NeurIPS 2025,2025,2510.18281,10.52202/085713-4480,https://arxiv.org/pdf/2510.18281,在在线时序预测设定下给出具理论保证的算法与遗憾界分析。,yes
18,2,在线学习/测试时适应/延迟反馈,Tackling Time-Series Forecasting Generalization via Mitigating Concept Drift,Zhiyuan Zhao; Haoxin Liu; B. Aditya Prakash,ICLR 2026,2026,2510.14814,,https://arxiv.org/pdf/2510.14814,从缓解概念漂移角度改进时序预测模型的泛化能力。,yes
19,2,在线学习/测试时适应/延迟反馈,Test-time Adaptation in Non-stationary Environments via Adaptive Representation Alignment,Zhen-Yu Zhang; Zhiyu Xie; Huaxiu Yao; Masashi Sugiyama,NeurIPS 2024,2024,,10.52202/079017-2999,https://doi.org/10.52202/079017-2999,提出 Ada-ReAlign，在非平稳环境下通过自适应表示对齐进行持续测试时适应。,yes
20,2,在线学习/测试时适应/延迟反馈,When Model Meets New Normals: Test-Time Adaptation for Unsupervised Time-Series Anomaly Detection,Dongmin Kim; Sunghyun Park; Jaegul Choo,AAAI 2024,2024,2312.11976,10.1609/aaai.v38i12.29210,https://arxiv.org/pdf/2312.11976,"研究时序异常检测中""新常态""问题，提出基于趋势估计与自监督的测试时适应方法 M2N2。",yes
21,2,在线学习/测试时适应/延迟反馈,CANDI: Curated Test-Time Adaptation for Multivariate Time-Series Anomaly Detection Under Distribution Shift,HyunGi Kim; Jisoo Mok; Hyungyu Lee; Juhyeon Shin; Sungroh Yoon,AAAI 2026,2026,2604.01845,10.1609/aaai.v40i17.38524,https://arxiv.org/pdf/2604.01845,提出 CANDI，在分布偏移下对多元时序异常检测进行有筛选的测试时适应。,yes
22,2,在线学习/测试时适应/延迟反馈,Augmented Contrastive Clustering with Uncertainty-Aware Prototyping for Time Series Test Time Adaptation,Peiliang Gong; Mohamed Ragab; Min Wu; Zhenghua Chen; Yongyi Su; Xiaoli Li; Daoqiang Zhang,KDD 2025,2025,2501.01472,10.1145/3690624.3709239,https://arxiv.org/pdf/2501.01472,提出 ACCUP，用不确定性感知原型与增强对比聚类实现时序测试时适应。,yes
23,2,在线学习/测试时适应/延迟反馈,In-Context Time Series Predictor,Jiecheng Lu; Yan Sun; Shihao Yang,ICLR 2025,2025,2405.14982,,https://arxiv.org/pdf/2405.14982,"将时序预测重构为 (context, target) 令牌序列的上下文学习任务，无需参数更新即可适应新序列。",yes
24,3,不规则采样/IMTS,Irregular Multivariate Time Series Forecasting: A Transformable Patching Graph Neural Networks Approach,Weijia Zhang; Chenlong Yin; Hao Liu; Xiaofang Zhou; Hui Xiong,ICML 2024,2024,,,https://openreview.net/forum?id=UZlMXUGI6e,提出 t-PatchGNN，将不规则采样序列转为对齐的可变时长 patch 并用时间自适应图网络建模变量间依赖。,yes
25,3,不规则采样/IMTS,Hi-Patch: Hierarchical Patch GNN for Irregular Multivariate Time Series,Yicheng Luo; Bowen Zhang; Zhen Liu; Qianli Ma,ICML 2025,2025,,,https://openreview.net/forum?id=nBgQ66iEUu,提出 Hi-Patch，用层级 patch 图网络逐层聚合多尺度的不规则多元时序信息。,yes
26,3,不规则采样/IMTS,TimeCHEAT: A Channel Harmony Strategy for Irregularly Sampled Multivariate Time Series Analysis,Jiexi Liu; Meng Cao; Songcan Chen,AAAI 2025,2025,2412.12886,10.1609/aaai.v39i18.34076,https://arxiv.org/pdf/2412.12886,提出通道协调策略 TimeCHEAT，局部用图卷积嵌入、全局用 Transformer 学习不规则采样序列表示。,yes
27,3,不规则采样/IMTS,GraFITi: Graphs for Forecasting Irregularly Sampled Time Series,Vijaya Krishna Yalavarthi; Kiran Madhusudhanan; Randolf Scholz; Nourhan Ahmed; Johannes Burchert; Shayan Jawed; Stefan Born; Lars Schmidt-Thieme,AAAI 2024,2024,,10.1609/aaai.v38i15.29560,https://doi.org/10.1609/aaai.v38i15.29560,将不规则采样带缺失的多元时序表示为稀疏二部图，将预测转化为边权补全问题。,yes
28,3,不规则采样/IMTS,Knowledge-Empowered Dynamic Graph Network for Irregularly Sampled Medical Time Series,Yicheng Luo; Zhen Liu; Linghao Wang; Junhao Zheng; Binquan Wu; Qianli Ma,NeurIPS 2024,2024,,10.52202/079017-2144,https://doi.org/10.52202/079017-2144,提出 KEDGN，利用变量文本医学知识构建变量语义感知的动态图网络处理不规则采样医疗时序。,yes
29,3,不规则采样/IMTS,Amortized Control of Continuous State Space Feynman-Kac Model for Irregular Time Series,Byoungwoo Park; Hyungi Lee; Juho Lee,ICLR 2025 (Oral),2025,2410.05602,,https://arxiv.org/pdf/2410.05602,将不规则时序建模为连续状态空间 Feynman-Kac 模型并提出摊销控制的推断方法。,yes
30,3,不规则采样/IMTS,Trajectory Flow Matching with Applications to Clinical Time Series Modeling,Xi Zhang; Yuan Pu; Yuki Kawamura; Andrew Loza; Yoshua Bengio; Dennis L. Shung; Alexander Tong,NeurIPS 2024 (Spotlight),2024,2410.21154,10.52202/079017-3404,https://arxiv.org/pdf/2410.21154,提出轨迹流匹配以无需仿真方式训练神经 SDE，应用于不规则临床时序建模。,yes
31,3,不规则采样/IMTS,Stable Neural Stochastic Differential Equations in Analyzing Irregular Time Series Data,YongKyung Oh; Dong-Young Lim; Sungil Kim,ICLR 2024 (Spotlight),2024,2402.14989,,https://arxiv.org/pdf/2402.14989,提出三类稳定的神经随机微分方程以稳健分析不规则采样时序数据。,yes
32,3,不规则采样/IMTS,IVP-VAE: Modeling EHR Time Series with Initial Value Problem Solvers,Jingge Xiao; Leonie Basso; Wolfgang Nejdl; Niloy Ganguly; Sandipan Sikdar,AAAI 2024,2024,2305.06741,10.1609/aaai.v38i14.29534,https://arxiv.org/pdf/2305.06741,提出 IVP-VAE，用可并行的初值问题求解器直接近似状态演化以高效建模 EHR 不规则时序。,yes
