radar_issue,id,line_id,line,title,authors,date,arxiv_id,pdf_url,risk_level,status
2026-08-13,R1,1,TSFM污染审计,TSDS-Toolbox: A Toolbox for Measuring Time-Series Dataset Similarity,Yen-Ku Liu; Hongjie Chen; Ryan A. Rossi; Franck Dernoncourt,2026-08-08,2608.08119,https://arxiv.org/pdf/2608.08119,低-中,arxiv_preprint
2026-08-13,R2,1,TSFM污染审计,Evaluation Blindness: How Silent Measurement Failures Corrupt AI Systems from Training to Deployment,Priyanka Bajaj,2026-08-03,2608.02786,https://arxiv.org/pdf/2608.02786,低,arxiv_preprint
2026-08-13,R3,1,TSFM污染审计,Benchmarking Time Series Generation Methods for Privacy-Preserving Forecasting,Luis Amorim; Vitor Cerqueira; Moises Santos; Paulo J. Azevedo; Carlos Soares,2026-08-11,2608.10891,https://arxiv.org/pdf/2608.10891,低,arxiv_preprint
2026-08-13,R4,1,TSFM污染审计,Ground-Truth Neighborhood Regularization for Reinforcement Learning Post-Training of Time Series Foundation Models,Jianqi Zhang; Xingyu Zhang; Zeen Song; Changwen Zheng; Fanjiang Xu; Wenwen Qiang,2026-08-08,2608.08010,https://arxiv.org/pdf/2608.08010,低,arxiv_preprint
2026-08-13,R5,2,多模态时序,Align-RAG: Alignment Is All You Need for TSFM In-Context Learning,Mohammad Asadi; Soheil Hor; Bardiya Akhbari; Jack W. O'Sullivan; Tahoura Nedaee; Layne C. Price; Raviteja Anantha; Euan Ashley; Ehsan Adeli,2026-08-06,2608.05571,https://arxiv.org/pdf/2608.05571,中,arxiv_preprint
2026-08-13,R6,2,多模态时序,Decoupling Perception from Description: Computation-Grounded Representation Alignment between Multivariate Time Series and Language,Xinran Feng; Yi Xie; Chao Zhang; Ruikun Li; Wanyun Ling; Ziyue Li; Chenxi Liu,2026-08-05,2608.05238,https://arxiv.org/pdf/2608.05238,中,arxiv_preprint
2026-08-13,R7,2,多模态时序,TS-RAG: Retrieval Augmented Generation for Time Series Forecasting,Yixiong Xiao; Congxi Xiao; Jingbo Zhou,2026-08-06,2608.06223,https://arxiv.org/pdf/2608.06223,低,arxiv_preprint
2026-08-13,R8,2,多模态时序,FM-LLM: A frequency-enhanced mixture-of-experts framework for adapting LLMs to time series forecasting,Rentao Gu; Yihang Ding; Junjie Li; Yi Ding; Weijing Sang; Xiaoli Huo; Xin Qin; Yuefeng Ji,2026-08-12,2608.11623,https://arxiv.org/pdf/2608.11623,低,arxiv_preprint
2026-08-13,R9,2,多模态时序,ReasonCast: Towards Explainable Time Series Forecasting with Reasoning,Seunghan Lee; Jun Seo; Jaehoon Lee; Junhyeok Kang; Sangjun Han; Sungdong Yoo; Minjae Kim; Tae Yoon Lim; Dongwan Kang; Hwanil Choi; Soonyoung Lee; Wonbin Ahn,2026-08-03,2608.01875,https://arxiv.org/pdf/2608.01875,低,arxiv_preprint
2026-08-13,R10,2,多模态时序,REATS: LLM Reasoning-based Ensemble Learning for Adaptive Time Series Forecasting,Xu Zhang; Chang Xu; Hui Sun; Nan Ma; Zijian Zhang; Peng Wang; Wei Wang; Li Zhao,2026-08-10,2608.10149,https://arxiv.org/pdf/2608.10149,低-中,arxiv_preprint
2026-08-13,R11,2,多模态时序,Is Self-Pretraining really useful to improve diagnosis in medical Time Series?,Omar Coser; Antonio Orvieto; Paolo Soda; Loredana Zollo,2026-08-06,2608.06122,https://arxiv.org/pdf/2608.06122,低-中,arxiv_preprint
2026-08-13,R12,3,归一化/TTA/延迟反馈,KReF: Training-Free Retrieval for Long-Term Time-Series Forecasting and Predictive Uncertainty,Yang Zhang; Rui Su,2026-08-07,2608.06748,https://arxiv.org/pdf/2608.06748,低-中,arxiv_preprint
